,time,open,high,low,close,tick_volume,spread,real_volume
0,1717669500,169.885,169.968,169.881,169.965,331,19,0
1,1717669800,169.959,169.961,169.885,169.89,393,20,0
2,1717670100,169.89,169.949,169.886,169.93,401,19,0
3,1717670400,169.93,170.001,169.926,169.965,375,14,0
4,1717670700,169.964,169.978,169.938,169.947,301,19,0
5,1717671000,169.946,170.019,169.943,169.966,440,19,0
6,1717671300,169.967,170.011,169.966,169.996,353,22,0
7,1717671600,169.992,170.064,169.974,170.017,407,19,0
8,1717671900,170.018,170.029,169.93,169.936,370,17,0
9,1717672200,169.934,169.958,169.92,169.932,384,18,0
10,1717672500,169.932,170.002,169.922,169.992,375,15,0
11,1717672800,169.993,170.02,169.984,170.008,306,22,0
12,1717673100,170.006,170.047,170.0,170.032,396,21,0
13,1717673400,170.032,170.045,169.993,170.004,354,23,0
14,1717673700,170.003,170.004,169.924,169.929,334,16,0
15,1717674000,169.927,169.934,169.875,169.903,482,17,0
16,1717674300,169.902,169.902,169.83,169.835,470,22,0
17,1717674600,169.836,169.838,169.774,169.824,513,23,0
18,1717674900,169.82,169.85,169.775,169.849,445,20,0
19,1717675200,169.847,169.895,169.837,169.876,409,21,0
20,1717675500,169.877,169.94,169.872,169.887,385,21,0
21,1717675800,169.886,169.889,169.795,169.83,542,19,0
22,1717676100,169.836,169.868,169.815,169.821,383,22,0
23,1717676400,169.821,169.84,169.806,169.819,314,21,0
24,1717676700,169.821,169.829,169.786,169.806,256,22,0
25,1717677000,169.8,169.803,169.755,169.768,355,20,0
26,1717677300,169.768,169.805,169.734,169.734,359,20,0
27,1717677600,169.733,169.755,169.712,169.727,336,20,0
28,1717677900,169.726,169.734,169.688,169.688,384,22,0
29,1717678200,169.688,169.688,169.625,169.664,534,21,0
30,1717678500,169.666,169.71,169.661,169.682,342,19,0
31,1717678800,169.681,169.698,169.66,169.688,363,18,0
32,1717679100,169.686,169.731,169.669,169.708,329,22,0
33,1717679400,169.708,169.72,169.673,169.684,277,23,0
34,1717679700,169.683,169.7,169.624,169.643,377,20,0
35,1717680000,169.643,169.65,169.613,169.649,441,22,0
36,1717680300,169.649,169.68,169.638,169.67,390,23,0
37,1717680600,169.676,169.743,169.67,169.728,486,22,0
38,1717680900,169.727,169.771,169.724,169.763,261,22,0
39,1717681200,169.763,169.763,169.727,169.728,310,23,0
40,1717681500,169.727,169.736,169.691,169.698,398,23,0
41,1717681800,169.699,169.699,169.647,169.671,316,23,0
42,1717682100,169.671,169.701,169.665,169.695,385,15,0
43,1717682400,169.698,169.736,169.689,169.729,321,21,0
44,1717682700,169.728,169.762,169.714,169.74,363,23,0
45,1717683000,169.74,169.761,169.708,169.71,226,24,0
46,1717683300,169.71,169.74,169.706,169.728,306,21,0
47,1717683600,169.729,169.73,169.696,169.719,295,22,0
48,1717683900,169.721,169.74,169.697,169.697,218,22,0
49,1717684200,169.7,169.704,169.654,169.685,291,22,0
50,1717684500,169.685,169.722,169.68,169.702,317,19,0
51,1717684800,169.701,169.713,169.685,169.713,376,20,0
52,1717685100,169.713,169.734,169.702,169.728,325,21,0
53,1717685400,169.728,169.76,169.719,169.733,257,23,0
54,1717685700,169.734,169.751,169.66,169.731,558,20,0
55,1717686000,169.732,169.741,169.666,169.67,432,20,0
56,1717686300,169.667,169.732,169.66,169.72,432,20,0
57,1717686600,169.719,169.743,169.686,169.707,511,20,0
58,1717686900,169.707,170.004,169.692,169.925,1401,11,0
59,1717687200,169.924,170.135,169.898,170.124,1130,19,0
60,1717687500,170.123,170.138,169.997,169.998,757,17,0
61,1717687800,170.0,170.09,169.856,170.013,1426,20,0
62,1717688100,170.011,170.089,169.958,170.039,1009,20,0
63,1717688400,170.039,170.054,169.944,170.038,768,19,0
