,time,open,high,low,close,tick_volume,spread,real_volume
0,1717644600,1.08756,1.08763,1.08756,1.08761,44,13,0
1,1717644900,1.0876,1.0876,1.08748,1.08753,47,12,0
2,1717645200,1.08753,1.08775,1.08753,1.08774,67,13,0
3,1717645500,1.08774,1.08788,1.08774,1.0878700000000001,60,14,0
4,1717645800,1.08788,1.08809,1.08788,1.08797,137,13,0
5,1717646100,1.08802,1.0881,1.08799,1.08807,107,11,0
6,1717646400,1.08807,1.08828,1.08807,1.08823,83,13,0
7,1717646700,1.08824,1.08836,1.08824,1.0883099999999999,63,13,0
8,1717647000,1.0883099999999999,1.08873,1.0883,1.08868,131,12,0
9,1717647300,1.08867,1.08875,1.08852,1.0887,117,11,0
10,1717647600,1.08871,1.08884,1.0887,1.0888,217,13,0
11,1717647900,1.08881,1.08895,1.08881,1.08894,125,13,0
12,1717648200,1.08895,1.08922,1.0889,1.08914,213,13,0
13,1717648500,1.08914,1.08919,1.08904,1.08906,135,12,0
14,1717648800,1.08906,1.08907,1.08885,1.08895,96,12,0
15,1717649100,1.08895,1.08895,1.08879,1.0889199999999999,121,13,0
16,1717649400,1.0889199999999999,1.08911,1.08888,1.08911,127,13,0
17,1717649700,1.08911,1.0893,1.08908,1.08928,238,12,0
18,1717650000,1.08927,1.08928,1.089,1.08906,105,13,0
19,1717650300,1.08906,1.08914,1.089,1.08906,55,12,0
20,1717650600,1.08907,1.08911,1.0889199999999999,1.08894,42,14,0
21,1717650900,1.08894,1.08894,1.08872,1.08876,89,14,0
22,1717651200,1.08876,1.089,1.08873,1.08895,95,14,0
23,1717651500,1.08894,1.08904,1.08888,1.08904,94,14,0
24,1717651800,1.08903,1.0892,1.08899,1.0892,104,14,0
25,1717652100,1.0892,1.08931,1.08913,1.08918,106,11,0
26,1717652400,1.08917,1.08931,1.08914,1.08931,117,13,0
27,1717652700,1.0893,1.08944,1.08918,1.08919,103,13,0
28,1717653000,1.08918,1.0892,1.08898,1.08903,57,14,0
29,1717653300,1.08903,1.0892,1.08903,1.0890900000000001,149,14,0
30,1717653600,1.08908,1.08914,1.08897,1.08914,66,14,0
31,1717653900,1.08914,1.08917,1.08913,1.08916,47,14,0
32,1717654200,1.08916,1.08928,1.08915,1.08925,57,15,0
33,1717654500,1.08924,1.08925,1.08906,1.08907,60,14,0
34,1717654800,1.08907,1.08923,1.08903,1.08918,39,13,0
35,1717655100,1.08918,1.08925,1.08916,1.08924,64,13,0
36,1717655400,1.08923,1.08923,1.08912,1.08914,79,14,0
37,1717655700,1.08914,1.08917,1.08903,1.08903,85,15,0
38,1717656000,1.08904,1.08907,1.08899,1.08906,49,13,0
39,1717656300,1.08907,1.08908,1.08885,1.08893,44,13,0
40,1717656600,1.08893,1.08897,1.08886,1.08896,49,14,0
41,1717656900,1.08896,1.08903,1.08894,1.08895,36,13,0
42,1717657200,1.08896,1.08897,1.08891,1.08891,46,13,0
43,1717657500,1.08891,1.08893,1.08886,1.08891,45,15,0
44,1717657800,1.08891,1.08897,1.08891,1.08893,29,14,0
45,1717658100,1.08894,1.08897,1.08872,1.08876,57,11,0
46,1717658400,1.08877,1.08882,1.08871,1.08879,38,10,0
47,1717658700,1.08879,1.08895,1.08877,1.0889199999999999,48,13,0
48,1717659000,1.08891,1.08891,1.08878,1.08883,66,14,0
49,1717659300,1.08882,1.08883,1.08875,1.08875,44,15,0
50,1717659600,1.08875,1.08886,1.08864,1.08882,78,13,0
51,1717659900,1.08881,1.08882,1.08869,1.0887,81,14,0
52,1717660200,1.0887,1.0887,1.08865,1.08866,37,13,0
53,1717660500,1.08866,1.08871,1.08864,1.08871,57,14,0
54,1717660800,1.0887,1.08874,1.08862,1.08871,72,14,0
55,1717661100,1.0887,1.08872,1.0886,1.08861,71,14,0
56,1717661400,1.08861,1.08866,1.0886,1.08861,51,13,0
57,1717661700,1.0886,1.08861,1.08851,1.08858,48,14,0
58,1717662000,1.08857,1.08857,1.08847,1.08849,34,13,0
59,1717662300,1.0885,1.08855,1.08837,1.08845,67,14,0
60,1717662600,1.08845,1.08845,1.08835,1.0884,61,13,0
61,1717662900,1.08839,1.0884,1.0882,1.08832,75,12,0
62,1717663200,1.08832,1.08836,1.08821,1.08836,103,13,0
63,1717663500,1.08836,1.08855,1.08836,1.08849,163,14,0
64,1717663800,1.0884800000000001,1.08854,1.0884,1.08845,216,13,0
65,1717664100,1.08846,1.0885,1.08843,1.08843,93,13,0
66,1717664400,1.08844,1.08844,1.08802,1.08814,253,13,0
67,1717664700,1.08814,1.08844,1.08814,1.08834,183,13,0
68,1717665000,1.08834,1.08844,1.08817,1.08823,173,13,0
69,1717665300,1.08822,1.08833,1.08812,1.08816,143,14,0
70,1717665600,1.08816,1.08816,1.08786,1.0878700000000001,135,13,0
71,1717665900,1.0878700000000001,1.08792,1.08779,1.0878,113,13,0
72,1717666200,1.08779,1.08785,1.08766,1.0877,184,12,0
73,1717666500,1.08771,1.08791,1.08766,1.08783,134,13,0
74,1717666800,1.08784,1.08802,1.0878,1.088,135,13,0
75,1717667100,1.08801,1.08811,1.0878,1.08805,120,9,0
76,1717667400,1.08806,1.08812,1.08782,1.08805,145,12,0
77,1717667700,1.08805,1.08839,1.08785,1.08837,272,12,0
78,1717668000,1.08836,1.08879,1.0883,1.08834,371,13,0
79,1717668300,1.08835,1.08835,1.08782,1.08805,180,12,0
80,1717668600,1.08806,1.0882,1.08794,1.08806,121,10,0
81,1717668900,1.08806,1.08823,1.08799,1.08802,164,10,0
