,time,open,high,low,close,tick_volume,spread,real_volume
0,1717507800,197.557,197.633,197.225,197.289,2131,27,0
1,1717508700,197.29,197.615,197.186,197.602,2525,24,0
2,1717509600,197.605,197.912,197.516,197.836,2415,27,0
3,1717510500,197.838,197.986,197.825,197.921,2056,26,0
4,1717511400,197.916,198.017,197.818,197.922,1634,15,0
5,1717512300,197.922,197.926,197.588,197.616,1870,27,0
6,1717513200,197.614,197.705,197.492,197.542,2669,21,0
7,1717514100,197.545,197.656,197.443,197.591,2374,28,0
8,1717515000,197.591,197.698,197.394,197.698,2213,20,0
9,1717515900,197.699,198.013,197.697,198.001,2521,17,0
10,1717516800,197.997,198.089,197.799,197.887,2980,27,0
11,1717517700,197.885,197.97,197.767,197.961,2485,26,0
12,1717518600,197.962,198.066,197.774,197.864,2788,25,0
13,1717519500,197.865,197.901,197.69,197.705,2128,21,0
14,1717520400,197.705,198.013,197.521,197.997,4504,0,0
15,1717521300,197.995,198.139,197.992,198.091,3314,26,0
16,1717522200,198.092,198.117,197.941,198.024,2737,28,0
17,1717523100,198.025,198.05,197.837,197.92,3019,24,0
18,1717524000,197.92,198.136,197.92,197.971,2828,24,0
19,1717524900,197.973,198.032,197.857,197.953,2610,29,0
20,1717525800,197.955,197.985,197.817,197.944,2078,25,0
21,1717526700,197.945,198.018,197.877,197.955,1429,26,0
22,1717527600,197.959,198.024,197.895,197.968,1658,17,0
23,1717528500,197.969,198.009,197.898,197.97,1435,29,0
24,1717529400,197.969,197.969,197.854,197.945,1194,29,0
25,1717530300,197.947,197.992,197.861,197.899,1284,25,0
26,1717531200,197.899,197.948,197.849,197.891,1304,28,0
27,1717532100,197.888,197.914,197.795,197.854,1156,25,0
28,1717533000,197.855,197.879,197.697,197.71,1125,29,0
29,1717533900,197.711,197.776,197.703,197.736,1182,30,0
30,1717534800,197.735,197.814,197.722,197.751,1434,32,0
31,1717535700,197.75,197.879,197.748,197.828,1214,27,0
32,1717536600,197.827,197.855,197.761,197.802,912,29,0
33,1717537500,197.801,197.837,197.717,197.724,874,32,0
34,1717538400,197.722,197.752,197.642,197.701,1174,27,0
35,1717539300,197.701,197.765,197.692,197.741,917,27,0
36,1717540200,197.741,197.742,197.646,197.681,989,32,0
37,1717541100,197.681,197.7,197.643,197.651,534,34,0
38,1717542000,197.651,197.699,197.651,197.672,365,32,0
39,1717542900,197.672,197.737,197.655,197.719,360,34,0
40,1717543800,197.721,197.731,197.664,197.691,290,32,0
41,1717544700,197.688,197.797,197.68,197.775,495,33,0
42,1717545600,197.704,197.704,197.701,197.701,2,213,0
43,1717546500,197.702,197.74,197.631,197.719,343,64,0
44,1717547400,197.718,197.768,197.701,197.71,471,29,0
45,1717548300,197.716,197.759,197.675,197.704,947,64,0
46,1717549200,197.699,197.753,197.649,197.722,384,35,0
47,1717550100,197.723,197.725,197.652,197.71,215,29,0
48,1717551000,197.71,197.71,197.691,197.698,150,36,0
49,1717551900,197.697,197.765,197.697,197.764,214,35,0
50,1717552800,197.763,197.827,197.73,197.803,394,32,0
51,1717553700,197.798,197.887,197.774,197.882,263,30,0
52,1717554600,197.882,198.141,197.868,198.072,591,29,0
53,1717555500,198.07,198.164,198.036,198.106,608,28,0
54,1717556400,198.102,198.412,198.081,198.409,1523,26,0
55,1717557300,198.407,198.466,198.263,198.328,1635,2,0
56,1717558200,198.331,198.355,198.232,198.283,1135,13,0
57,1717559100,198.283,198.354,198.216,198.289,1781,27,0
58,1717560000,198.291,198.497,198.291,198.415,1860,21,0
59,1717560900,198.415,198.427,198.323,198.323,974,30,0
60,1717561800,198.322,198.406,198.267,198.371,1182,25,0
61,1717562700,198.368,198.507,198.363,198.505,1072,24,0
62,1717563600,198.505,198.669,198.503,198.634,1196,27,0
63,1717564500,198.634,198.659,198.584,198.621,648,28,0
64,1717565400,198.618,198.65,198.581,198.647,637,29,0
65,1717566300,198.647,198.671,198.595,198.63,492,30,0
66,1717567200,198.631,198.782,198.564,198.586,1381,3,0
67,1717568100,198.584,198.601,198.499,198.502,856,27,0
