,time,open,high,low,close,tick_volume,spread,real_volume
0,1718355900,158.142,158.215,158.129,158.201,761,0,0
1,1718356200,158.202,158.253,158.189,158.234,616,7,0
2,1718356500,158.233,158.233,158.129,158.171,678,1,0
3,1718356800,158.174,158.183,158.107,158.182,655,7,0
4,1718357100,158.182,158.216,158.134,158.151,610,4,0
5,1718357400,158.152,158.195,158.118,158.145,648,4,0
6,1718357700,158.149,158.149,157.626,157.741,1362,0,0
7,1718358000,157.741,157.961,157.713,157.929,1030,0,0
8,1718358300,157.93,158.113,157.93,158.045,892,3,0
9,1718358600,158.045,158.179,158.037,158.119,591,1,0
10,1718358900,158.119,158.157,157.907,157.949,844,0,0
11,1718359200,157.951,158.003,157.718,157.951,1160,0,0
12,1718359500,157.951,158.061,157.951,158.035,839,1,0
13,1718359800,158.035,158.096,157.951,157.988,870,0,0
14,1718360100,157.987,158.004,157.859,157.956,790,6,0
15,1718360400,157.955,158.03,157.917,157.989,655,5,0
16,1718360700,157.989,158.012,157.944,157.954,719,6,0
17,1718361000,157.955,158.08,157.954,158.07,825,4,0
18,1718361300,158.072,158.204,157.864,157.927,1215,0,0
19,1718361600,157.93,158.006,157.877,157.956,911,0,0
20,1718361900,157.955,157.98,157.806,157.809,789,2,0
21,1718362200,157.814,157.829,157.674,157.676,954,4,0
22,1718362500,157.677,157.782,157.641,157.664,975,2,0
23,1718362800,157.664,157.782,157.579,157.586,1094,3,0
24,1718363100,157.587,157.612,157.261,157.272,1237,4,0
25,1718363400,157.272,157.52,157.272,157.471,1175,0,0
26,1718363700,157.471,157.586,157.456,157.568,887,0,0
27,1718364000,157.569,157.621,157.52,157.6,530,7,0
28,1718364300,157.602,157.639,157.558,157.624,682,7,0
29,1718364600,157.625,157.687,157.603,157.68,587,8,0
30,1718364900,157.685,157.701,157.581,157.587,676,9,0
31,1718365200,157.588,157.599,157.45,157.455,819,5,0
32,1718365500,157.455,157.537,157.435,157.496,840,2,0
33,1718365800,157.496,157.629,157.495,157.579,715,7,0
34,1718366100,157.579,157.607,157.463,157.483,825,8,0
35,1718366400,157.483,157.522,157.393,157.399,1002,6,0
36,1718366700,157.407,157.487,157.384,157.472,851,9,0
37,1718367000,157.472,157.472,157.333,157.396,779,0,0
38,1718367300,157.397,157.434,157.345,157.398,617,5,0
