,time,open,high,low,close,tick_volume,spread,real_volume
0,1720056600,2356.44,2356.97,2356.21,2356.72,70,15,0
1,1720056900,2356.81,2357.46,2356.78,2357.46,118,19,0
2,1720057200,2357.42,2357.77,2357.2,2357.54,85,13,0
3,1720057500,2357.6,2357.73,2357.53,2357.55,67,20,0
4,1720057800,2357.55,2358.42,2357.55,2358.16,107,13,0
5,1720058100,2358.17,2359.0,2358.13,2358.58,155,18,0
6,1720058400,2358.58,2358.68,2357.54,2357.74,119,16,0
7,1720058700,2357.74,2358.15,2357.68,2358.15,73,16,0
8,1720059000,2358.18,2358.62,2358.15,2358.29,62,21,0
9,1720059300,2358.39,2358.65,2358.3,2358.32,73,17,0
10,1720059600,2358.32,2358.59,2358.32,2358.4,45,17,0
11,1720059900,2358.4,2358.43,2358.09,2358.36,35,17,0
12,1720060200,2358.36,2358.73,2358.36,2358.59,30,17,0
13,1720060500,2358.59,2358.93,2358.54,2358.83,58,21,0
14,1720060800,2358.97,2359.41,2358.75,2359.11,93,13,0
15,1720061100,2359.14,2359.16,2358.57,2358.57,71,13,0
16,1720061400,2358.57,2358.64,2358.19,2358.45,64,13,0
17,1720061700,2358.45,2358.81,2357.93,2358.47,88,13,0
18,1720062000,2358.53,2358.56,2357.38,2357.55,336,13,0
19,1720062300,2357.55,2357.55,2356.67,2356.71,241,13,0
20,1720062600,2356.71,2357.12,2356.45,2356.87,200,14,0
21,1720062900,2356.87,2357.37,2356.76,2357.1,268,14,0
22,1720063200,2357.18,2357.44,2357.11,2357.37,121,15,0
23,1720063500,2357.37,2358.1,2357.02,2357.87,174,13,0
24,1720063800,2357.87,2357.87,2356.88,2356.89,148,13,0
25,1720064100,2356.91,2357.51,2356.89,2357.18,137,13,0
26,1720064400,2357.18,2357.72,2356.99,2357.64,132,13,0
27,1720064700,2357.59,2357.86,2357.47,2357.85,108,13,0
28,1720065000,2357.85,2359.05,2357.82,2358.97,249,17,0
29,1720065300,2358.99,2359.17,2358.36,2358.36,188,15,0
30,1720065600,2358.36,2359.55,2358.1,2359.42,708,13,0
31,1720065900,2359.42,2360.75,2359.03,2359.65,622,13,0
32,1720066200,2359.63,2359.82,2358.71,2358.91,542,13,0
33,1720066500,2359.01,2359.65,2358.16,2358.53,509,13,0
34,1720066800,2358.56,2360.09,2358.56,2359.95,497,13,0
35,1720067100,2359.96,2362.21,2359.89,2361.16,501,13,0
36,1720067400,2361.15,2361.87,2359.91,2361.32,461,13,0
37,1720067700,2361.32,2361.66,2360.38,2360.53,400,13,0
38,1720068000,2360.52,2361.84,2360.47,2361.84,471,13,0
39,1720068300,2361.83,2362.17,2360.81,2361.13,365,13,0
40,1720068600,2361.14,2361.7,2360.86,2361.61,337,16,0
41,1720068900,2361.57,2362.08,2361.14,2361.76,279,14,0
42,1720069200,2361.76,2362.08,2361.06,2361.22,429,13,0
43,1720069500,2361.22,2361.22,2359.9,2360.01,295,15,0
44,1720069800,2359.98,2360.59,2359.74,2359.75,373,13,0
45,1720070100,2359.75,2360.23,2359.43,2359.46,244,14,0
46,1720070400,2359.46,2360.46,2359.46,2359.89,218,13,0
47,1720070700,2359.89,2360.19,2359.24,2359.31,220,13,0
48,1720071000,2359.31,2359.82,2358.82,2359.76,392,13,0
49,1720071300,2359.76,2360.15,2358.68,2358.82,246,13,0
50,1720071600,2358.8,2359.21,2357.86,2358.05,463,15,0
51,1720071900,2358.09,2359.35,2357.53,2359.3,444,13,0
52,1720072200,2359.3,2360.04,2358.81,2359.49,334,13,0
53,1720072500,2359.49,2359.95,2359.12,2359.3,351,17,0
54,1720072800,2359.29,2360.08,2358.88,2359.61,416,13,0
55,1720073100,2359.61,2359.68,2358.97,2359.33,381,13,0
56,1720073400,2359.33,2359.36,2357.55,2358.09,466,13,0
57,1720073700,2358.11,2359.57,2357.8,2359.21,463,13,0
58,1720074000,2359.21,2359.73,2359.05,2359.36,344,13,0
59,1720074300,2359.36,2360.23,2359.36,2359.71,226,13,0
60,1720074600,2359.71,2359.72,2359.08,2359.44,230,19,0
61,1720074900,2359.44,2360.05,2358.62,2359.99,198,13,0
62,1720075200,2359.93,2359.94,2359.48,2359.59,161,13,0
63,1720075500,2359.59,2359.68,2359.19,2359.44,117,20,0
64,1720075800,2359.44,2359.5,2358.35,2358.45,138,13,0
65,1720076100,2358.42,2358.47,2357.31,2358.11,298,13,0
